66	138074	LT+BT	20221	6	1230	1455	NULL	0	120	NULL	NULL	BF3532
67	725437	TN	20221	2	0730	1145	C4-301	0	20	NULL	NULL	BF3532
68	725437	TN	20221	2	0730	1145	TTB4	0	20	NULL	NULL	BF3532
69	725438	TN	20221	3	0730	1145	C4-301	0	20	NULL	NULL	BF3532
70	725438	TN	20221	3	0730	1145	TTB4	0	20	NULL	NULL	BF3532
71	725439	TN	20221	4	0730	1145	C4-301	0	20	NULL	NULL	BF3532
72	725439	TN	20221	4	0730	1145	TTB4	0	20	NULL	NULL	BF3532
73	725440	TN	20221	5	0730	1145	TTB4	0	20	NULL	NULL	BF3532
74	725440	TN	20221	5	0730	1145	C4-301	0	20	NULL	NULL	BF3532
75	725441	TN	20221	6	0730	1145	C4-301	0	20	NULL	NULL	BF3532
76	725441	TN	20221	6	0730	1145	TTB4	0	20	NULL	NULL	BF3532
77	725442	TN	20221	7	0730	1145	TTB4	0	20	NULL	NULL	BF3532
78	725442	TN	20221	7	0730	1145	C4-301	0	20	NULL	NULL	BF3532
79	725443	TN	20221	2	0730	1145	TTB4	0	20	NULL	NULL	BF3532
80	725443	TN	20221	2	0730	1145	C4-301	0	20	NULL	NULL	BF3532
81	725444	TN	20221	3	0730	1145	TTB4	0	20	NULL	NULL	BF3532
82	725444	TN	20221	3	0730	1145	C4-301	0	20	NULL	NULL	BF3532
83	725445	TN	20221	4	0730	1145	TTB4	0	20	NULL	NULL	BF3532
84	725445	TN	20221	4	0730	1145	C4-301	0	20	NULL	NULL	BF3532
85	725446	TN	20221	5	0730	1145	TTB4	0	20	NULL	NULL	BF3532
86	725446	TN	20221	5	0730	1145	C4-301	0	20	NULL	NULL	BF3532
87	725447	TN	20221	6	0730	1145	C4-301	0	20	NULL	NULL	BF3532
88	725447	TN	20221	6	0730	1145	TTB4	0	20	NULL	NULL	BF3532
89	725448	TN	20221	7	0730	1145	C4-301	0	20	NULL	NULL	BF3532
90	725448	TN	20221	7	0730	1145	TTB4	0	20	NULL	NULL	BF3532
